tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen
12059,2,12059,Enterovirus,"",viruses,false,1000000.0,49693,10,1,49693,94.983,6777.0,10^-307.653,1000000.0,49693,10,1,49693,87.9,2148.0,10^-307.653,[463676],1
463676,1,12059,Rhinovirus C,"",viruses,false,1000000.0,49693,10,1,49693,94.983,6777.0,10^-307.653,1000000.0,49693,10,1,49693,87.9,2148.0,10^-307.653,,1
