tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen
1653394,2,1653394,Mammarenavirus,"",viruses,false,318510.0,23814,8,1,23814,80.49,3265.0,10^-307.653,681490.0,50953,12,1,50953,58.7,2221.0,10^-307.653,[11620],1
11620,1,1653394,Lassa mammarenavirus,"",viruses,false,318510.0,23814,8,1,23814,80.49,3265.0,10^-307.653,681490.0,50953,12,1,50953,58.7,2221.0,10^-307.653,,1
-200,2,-200,all taxa with neither family nor genus classification,,,false,,,,,,,,,318510.0,23814,8,1,23814,59.1,579.0,10^-198.921,[2492959],0
2492959,1,-200,Cloning vector mPol_I_LASV_Sag_GFP_P2A_NP,"",,false,,,,,,,,,318510.0,23814,8,1,23814,59.1,579.0,10^-198.921,,0
