tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen
10358,2,10358,Cytomegalovirus,"",viruses,false,,,,,,,,,974709.0,1607804,221,1,1607804,30.9,2214.0,10^-208.606,[10359],1
10359,1,10358,Human betaherpesvirus 5,"",viruses,false,,,,,,,,,974709.0,1607804,221,1,1607804,30.9,2214.0,10^-208.606,,1
