NZ_UYIP01000001.1,0.99-1,0.99-2,0.99-3,0.99-4,0.99-5,0.99-6,0.99-7,0.99-8,0.99-9,0.99-10,0.97-1,0.97-2,0.97-3,0.97-4,0.97-5,0.97-6,0.97-7,0.97-8,0.97-9,0.97-10,0.95-1,0.95-2,0.95-3,0.95-4,0.95-5,0.95-6,0.95-7,0.95-8,0.95-9,0.95-10,0.92-1,0.92-2,0.92-3,0.92-4,0.92-5,0.92-6,0.92-7,0.92-8,0.92-9,0.92-10,0.9-1,0.9-2,0.9-3,0.9-4,0.9-5,0.9-6,0.9-7,0.9-8,0.9-9,0.9-10,0.85-1,0.85-2,0.85-3,0.85-4,0.85-5,0.85-6,0.85-7,0.85-8,0.85-9,0.85-10,0.8-1,0.8-2,0.8-3,0.8-4,0.8-5,0.8-6,0.8-7,0.8-8,0.8-9,0.8-10
1.0,0.4,0.4,0.5,0.5,0.15384615384615385,0.25,0.4,0.3076923076923077,0.375,0.25,0.13043478260869565,0.058823529411764705,0.0,0.08333333333333333,0.14285714285714285,0.10526315789473684,0.16666666666666666,0.15789473684210525,0.047619047619047616,0.05,0.0,0.0,0.0,0.041666666666666664,0.05263157894736842,0.045454545454545456,0.05,0.0,0.07142857142857142,0.041666666666666664,0.045454545454545456,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4444444444444444,1.0,0.26666666666666666,0.1,0.25,0.07692307692307693,0.15,0.2,0.15384615384615385,0.125,0.05,0.08695652173913043,0.058823529411764705,0.0,0.0,0.14285714285714285,0.10526315789473684,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.045454545454545456,0.0,0.0,0.07142857142857142,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666666,0.4,1.0,0.3,0.5,0.15384615384615385,0.2,0.2,0.23076923076923078,0.25,0.15,0.08695652173913043,0.058823529411764705,0.0,0.0,0.14285714285714285,0.10526315789473684,0.125,0.05263157894736842,0.0,0.05,0.0,0.0,0.0,0.041666666666666664,0.0,0.045454545454545456,0.05,0.0,0.07142857142857142,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5555555555555556,0.1,0.2,1.0,0.375,0.07692307692307693,0.05,0.2,0.07692307692307693,0.375,0.15,0.0,0.0,0.0,0.08333333333333333,0.07142857142857142,0.0,0.041666666666666664,0.15789473684210525,0.0,0.05,0.0,0.0,0.0,0.0,0.05263157894736842,0.045454545454545456,0.05,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4444444444444444,0.2,0.26666666666666666,0.3,1.0,0.07692307692307693,0.1,0.13333333333333333,0.15384615384615385,0.25,0.1,0.043478260869565216,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.05263157894736842,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2222222222222222,0.1,0.13333333333333333,0.1,0.125,1.0,0.1,0.06666666666666667,0.0,0.125,0.1,0.043478260869565216,0.0,0.0,0.0,0.07142857142857142,0.05263157894736842,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5555555555555556,0.3,0.26666666666666666,0.1,0.25,0.15384615384615385,1.0,0.2,0.23076923076923078,0.125,0.15,0.13043478260869565,0.058823529411764705,0.0,0.0,0.07142857142857142,0.10526315789473684,0.125,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.07142857142857142,0.041666666666666664,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666666,0.3,0.2,0.3,0.25,0.07692307692307693,0.15,1.0,0.15384615384615385,0.25,0.15,0.13043478260869565,0.0,0.0,0.08333333333333333,0.14285714285714285,0.05263157894736842,0.125,0.10526315789473684,0.047619047619047616,0.0,0.0,0.0,0.0,0.041666666666666664,0.05263157894736842,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4444444444444444,0.2,0.2,0.1,0.25,0.0,0.15,0.13333333333333333,1.0,0.0,0.1,0.08695652173913043,0.058823529411764705,0.0,0.0,0.0,0.05263157894736842,0.08333333333333333,0.05263157894736842,0.047619047619047616,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.07142857142857142,0.041666666666666664,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.1,0.13333333333333333,0.3,0.25,0.07692307692307693,0.05,0.13333333333333333,0.0,1.0,0.1,0.0,0.0,0.0,0.08333333333333333,0.07142857142857142,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
