tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
260964,2,260964,Henipavirus,"",viruses,false,4834905660.377358,100,100,233490.56603773584,99,,,86.7904,247.444,10^-111.095,,,,,100,254716.98113207548,108,,,67.3306,92.0185,10^-28.2419,,,,,"[121791, 63330]",2
121791,1,260964,Nipah henipavirus,"",viruses,false,4834905660.377358,100,100,233490.56603773584,99,,,86.7904,247.444,10^-111.095,,,,,100,250000.0,106,,,67.3868,92.0566,10^-28.3166,,,,,,1
63330,1,260964,Hendra henipavirus,"",viruses,false,47169811.320754714,100,,,,,,,,,,,,,100,4716.981132075472,2,,,64.35,90.0,10^-24.2826,,,,,,1
