tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
260964,2,260964,Henipavirus,"",viruses,false,4481132075.471698,100,100,162735.84905660377,69,,,85.3179,188.072,10^-76.3752,,,,,100,290094.3396226415,123,,,60.0667,93.7317,10^-23.1273,,,,,"[121791, 63330]",2
121791,1,260964,Nipah henipavirus,"",viruses,false,4481132075.471698,100,100,162735.84905660377,69,,,85.3179,188.072,10^-76.3752,,,,,100,285377.358490566,121,,,60.1074,93.6446,10^-23.1472,,,,,,1
63330,1,260964,Hendra henipavirus,"",viruses,false,47169811.320754714,100,,,,,,,,,,,,,100,4716.981132075472,2,,,57.6,99.0,10^-21.9205,,,,,,1
