tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
10405,2,10405,Orthohepadnavirus,mammalian hepatitis B-type viruses,viruses,false,7702702702.7027025,100,100,364864.86486486485,27,,,86.092,261.37,10^-115.298,,,,,100,405405.4054054054,30,,,68.8533,94.1667,10^-32.6771,,,,,[10407],1
10407,1,10405,Hepatitis B virus,"",viruses,false,7702702702.7027025,100,100,364864.86486486485,27,,,86.092,261.37,10^-115.298,,,,,100,405405.4054054054,30,,,68.8533,94.1667,10^-32.6771,,,,,,1
