tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
12059,2,12059,Enterovirus,"",viruses,false,8493975903.614458,100,100,469879.5180722892,78,,,94.2519,296.808,10^-166.854,,,,,100,445783.1325301205,74,,,85.7838,98.8919,10^-49.2012,,,,,"[463676, 47681]",1
463676,1,12059,Rhinovirus C,"",viruses,false,8493975903.614458,100,100,469879.5180722892,78,,,94.2519,296.808,10^-166.854,,,,,100,379518.0722891566,63,,,85.9587,98.8413,10^-49.7597,,,,,,1
47681,1,12059,Enterovirus sp.,"",viruses,false,662650602.4096385,100,,,,,,,,,,,,,100,66265.06024096385,11,,,84.7818,99.1818,10^-46.0025,,,,,,0
