tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
260964,2,260964,Henipavirus,"",viruses,false,1084905660.3773584,100,,,,,,,,,,,,,100,108490.56603773584,46,,,42.5957,95.1739,10^-9.71874,,,,,[121791],1
121791,1,260964,Nipah henipavirus,"",viruses,false,1084905660.3773584,100,,,,,,,,,,,,,100,108490.56603773584,46,,,42.5957,95.1739,10^-9.71874,,,,,,1
-200,2,-200,all taxa with neither family nor genus classification,,,false,23584905.660377357,100,,,,,,,,,,,,,100,2358.490566037736,1,,,42.9,98.0,10^-9.63264,,,,,[-100],0
-100,1,-200,all taxa with neither family nor genus classification,,,false,23584905.660377357,100,,,,,,,,,,,,,100,2358.490566037736,1,,,42.9,98.0,10^-9.63264,,,,,,0
