tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
260964,2,260964,Henipavirus,"",viruses,false,1698113207.54717,100,100,4716.981132075472,2,,,91.2925,62.0,10^-21.6063,,,,,100,167452.83018867925,71,,,46.7803,92.5352,10^-12.9311,,,,,"[121791, 1979178]",1
121791,1,260964,Nipah henipavirus,"",viruses,false,1698113207.54717,100,100,4716.981132075472,2,,,91.2925,62.0,10^-21.6063,,,,,100,165094.3396226415,70,,,46.8514,92.4571,10^-12.9716,,,,,,1
1979178,1,260964,Ghanaian bat henipavirus,"",viruses,false,23584905.660377357,100,,,,,,,,,,,,,100,2358.490566037736,1,,,41.8,98.0,10^-10.0937,,,,,,0
2560155,2,2560155,Jeilongvirus,"",viruses,false,23584905.660377357,100,,,,,,,,,,,,,100,2358.490566037736,1,,,33.7,89.0,10^-4.1549,,,,,[2560563],0
2560563,1,2560155,Lophuromys jeilongvirus 1,"",viruses,false,23584905.660377357,100,,,,,,,,,,,,,100,2358.490566037736,1,,,33.7,89.0,10^-4.1549,,,,,,0
