tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
12059,2,12059,Enterovirus,"",viruses,false,903614457.8313253,100,,,,,,,,,,,,,100,96385.5421686747,16,,,38.9562,89.875,10^-6.97462,,,,,"[463676, 47681]",1
463676,1,12059,Rhinovirus C,"",viruses,false,903614457.8313253,100,,,,,,,,,,,,,100,90361.44578313253,15,,,39.1067,89.3333,10^-7.09138,,,,,,1
47681,1,12059,Enterovirus sp.,"",viruses,false,60240963.855421685,100,,,,,,,,,,,,,100,6024.096385542169,1,,,36.7,98.0,10^-5.2233,,,,,,0
