tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
12059,2,12059,Enterovirus,"",viruses,false,4879518072.289157,100,100,126506.02409638555,21,,,85.2706,184.286,10^-75.3148,,,,,100,379518.0722891566,63,,,58.327,96.5556,10^-24.347,,,,,"[463676, 47681]",1
463676,1,12059,Rhinovirus C,"",viruses,false,4879518072.289157,100,100,126506.02409638555,21,,,85.2706,184.286,10^-75.3148,,,,,100,361445.7831325301,60,,,58.3033,96.5667,10^-24.2599,,,,,,1
47681,1,12059,Enterovirus sp.,"",viruses,false,180722891.56626508,100,,,,,,,,,,,,,100,18072.289156626506,3,,,58.8,96.3333,10^-26.0896,,,,,,0
