tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
694002,2,694002,Betacoronavirus,"",viruses,false,8449137931.034483,99,99,439655.1724137931,306,,,86.589,260.683,10^-117.155,826.781,719.512,,,99,413793.1034482759,288,,,68.4778,93.191,10^-30.252,806.835,696.773,,,[694009],1
694009,1,694002,Severe acute respiratory syndrome-related coronavirus,"",viruses,false,8449137931.034483,100,100,439655.1724137931,306,,,86.589,260.683,10^-117.155,,,,,100,413793.1034482759,288,,,68.4778,93.191,10^-30.252,,,,,,1
