tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
260964,2,260964,Henipavirus,"",viruses,false,5448113207.54717,100,100,297169.8113207547,126,,,86.4033,252.968,10^-112.912,,,,,100,259433.96226415093,110,,,67.2909,92.3091,10^-28.3446,,,,,"[121791, 63330]",2
121791,1,260964,Nipah henipavirus,"",viruses,false,5448113207.54717,100,100,297169.8113207547,126,,,86.4033,252.968,10^-112.912,,,,,100,247641.50943396226,105,,,67.4933,92.2571,10^-28.5209,,,,,,1
63330,1,260964,Hendra henipavirus,"",viruses,false,117924528.30188678,100,,,,,,,,,,,,,100,11792.452830188678,5,,,63.04,93.4,10^-24.6414,,,,,,1
